Epoch,Train Loss,Accuracy,Precision,Recall,F1
1,0.177255,0.6006,0.4768,0.946,0.6341
2,0.16751,0.7467,0.6121,0.8402,0.7082
3,0.151233,0.7528,0.6172,0.8544,0.7166
4,0.157058,0.6094,0.4825,0.9341,0.6363
5,0.169832,0.748,0.6065,0.8856,0.72
